Symbol, Revenues 2022, Revenues 2021, Revenues 2020, Revenues 2019,Emissions 2022,Emissions 2021,Emissions 2020,Emissions 2019,Total Esg,Environment Score,Social Score,Governance Score,Esg Performance
MMM,"$34,229,000,000","$35,355,000,000","$32,184,000,000","$32,136,000,000","6,640,426","6,858,870","6,243,696","6,234,384",33.61,12.33,13.56,7.72,Great
AOS,"$3,753,900,000","$3,538,900,000","$2,895,300,000","$2,992,700,000","728,257","686,547","561,688","580,584",25.43,7.29,11.87,6.27,Average
ABT,"$43,653,000,000","$43,075,000,000","$34,608,000,000","$31,904,000,000","305,571","301,525","242,256","223,328",24.98,3.03,13.59,8.36,Average
ABBV,"$58,054,000,000","$56,197,000,000","$45,804,000,000","$33,266,000,000","406,378","393,379","320,628","232,862",27.84,1.12,16.77,9.95,Average
ACN,"$64,111,745,000","$61,594,305,000","$50,533,389,000","$44,327,039,000","1,538,682","1,478,263","1,212,801","1,063,849",9.71,0.29,4.58,4.83,Bad
ADM,"$101,556,000,000","$85,249,000,000","$64,355,000,000","$64,656,000,000","9,140,040","7,672,410","5,791,950","5,819,040",36.4,18.23,13.16,5.01,Great
ADBE,"$17,606,000,000","$15,785,000,000","$12,868,000,000","$11,171,000,000","422,544","378,840","308,832","268,104",12.46,1.89,5.93,4.64,Bad
ADP,"$18,012,200,000","$16,498,300,000","$15,005,400,000","$14,589,800,000","432,293","395,959","360,130","350,155",13.97,1.07,6.96,5.94,Bad
AES,"$12,617,000,000","$11,141,000,000","$9,660,000,000","$10,189,000,000","33,233,178","29,345,394","25,444,440","26,837,826",34.15,16.48,11.2,6.47,Great
AFL,"$19,502,000,000","$22,106,000,000","$22,147,000,000","$22,307,000,000","370,538","420,014","420,793","423,833",17.3,0.47,7.26,9.57,Bad
A,"$6,848,000,000","$6,319,000,000","$5,339,000,000","$5,163,000,000","47,936","44,233","37,373","36,141",15.24,0.34,8.65,6.26,Bad
ABNB,"$8,399,000,000","$5,992,000,000","$3,378,000,000","$4,805,239,000","277,167","197,736","111,474","158,573",No fundamentals data found for any of the summaryTypes=esgScores,,,,
APD,"$12,698,600,000","$10,323,000,000","$8,856,300,000","$8,918,900,000","11,657,315","9,476,514","8,130,083","8,187,550",10.81,5.94,1.28,3.59,Bad
AKAM,"$3,616,654,000","$3,461,223,000","$3,198,149,000","$2,893,617,000","86,800","83,069","76,756","69,447",16.55,2.93,6.9,6.72,Bad
ALK,"$9,646,000,000","$6,176,000,000","$3,566,000,000","$8,781,000,000","1,871,324","1,198,144","691,804","1,703,514",No fundamentals data found for any of the summaryTypes=esgScores,,,,
ALB,"$7,320,104,000","$3,327,957,000","$3,128,909,000","$3,589,427,000","226,923","103,167","96,996","111,272",28.8,15.53,5.54,7.73,Average
ARE,"$2,589,607,000","$2,126,405,000","$1,893,785,000","$1,541,432,000","18,127","14,885","13,256","10,790",13.85,3.91,3.66,6.27,Bad
ALGN,"$3,734,635,000","$3,952,584,000","$2,471,941,000","$2,406,796,000","724,519","766,801","479,557","466,918",No fundamentals data found for any of the summaryTypes=esgScores,,,,
ALLE,"$3,271,900,000","$2,867,400,000","$2,719,900,000","$2,854,000,000","8,618,185","7,552,732","7,164,217","7,517,436",23.72,12.75,4.54,6.43,Average
LNT,"$4,205,000,000","$3,669,000,000","$3,416,000,000","$3,648,000,000","79,895","69,711","64,904","69,312",21.87,10.04,5.65,6.18,Average
ALL,"$51,412,000,000","$50,588,000,000","$41,909,000,000","$41,541,000,000","462,708","455,292","377,181","373,869",19.22,1.44,7.85,9.94,Bad
GOOGL,"$282,836,000,000","$257,637,000,000","$182,527,000,000","$161,857,000,000","2,545,524","2,318,733","1,642,743","1,456,713",24.14,1.66,11.1,11.39,Average
GOOG,"$282,836,000,000","$257,637,000,000","$182,527,000,000","$161,857,000,000","25,455,240","23,187,330","16,427,430","14,567,130",No fundamentals data found for any of the summaryTypes=esgScores,,,,
MO,"$20,688,000,000","$21,111,000,000","$20,841,000,000","$19,796,000,000","18,991,584","19,379,898","19,132,038","18,172,728",23.99,4.66,12.98,6.35,Average
AMZN,"$513,983,000,000","$469,822,000,000","$386,064,000,000","$280,522,000,000","12,335,592","11,275,728","9,265,536","6,732,528",30.28,5.59,14.8,9.89,Great
AMCR,"$14,694,000,000","$14,544,000,000","$12,861,000,000","$12,468,000,000","38,703,996","38,308,896","33,875,874","32,840,712",No fundamentals data found for any of the summaryTypes=esgScores,,,,
AMD,"$23,601,000,000","$16,434,000,000","$9,763,000,000","$6,731,000,000","4,578,594","3,188,196","1,894,022","1,305,814",No fundamentals data found for any of the summaryTypes=esgScores,,,,
AEE,"$7,662,000,000","$6,119,000,000","$5,540,000,000","$5,646,000,000","145,578","116,261","105,260","107,274",29.53,14.11,9.93,5.49,Average
AAL,"$48,971,000,000","$29,882,000,000","$17,337,000,000","$45,768,000,000","930,449","567,758","329,403","869,592",29.1,11.53,12.31,5.26,Average
AEP,"$19,639,500,000","$16,792,000,000","$14,918,500,000","$15,561,400,000","608,825","520,552","462,474","482,403",25.81,12.84,7.54,5.43,Average
AXP,"$50,680,000,000","$43,799,000,000","$31,357,000,000","$39,983,000,000","133,491,120","115,366,566","82,594,338","105,315,222",18.38,0.05,8.37,9.95,Bad
AIG,"$56,418,000,000","$52,049,000,000","$43,337,000,000","$49,317,000,000","1,071,942","988,931","823,403","937,023",25.32,1.87,9.67,13.79,Average
AMT,"$10,711,100,000","$9,356,900,000","$8,041,500,000","$7,580,300,000","2,077,953","1,815,239","1,560,051","1,470,578",10.94,2.36,3.56,5.02,Bad
AWK,"$3,792,000,000","$3,930,000,000","$3,777,000,000","$3,610,000,000","26,544","27,510","26,439","25,270",21.89,9.04,7.58,5.27,Average
AMP,"$14,347,000,000","$13,443,000,000","$11,958,000,000","$12,890,000,000","2,783,318","2,607,942","2,319,852","2,500,660",22.61,2.57,7.22,12.82,Average
AME,"$6,150,530,000","$5,546,514,000","$4,540,029,000","$5,158,557,000","147,613","133,116","108,961","123,805",24.08,8.65,8.51,6.92,Average
AMGN,"$26,323,000,000","$25,979,000,000","$25,424,000,000","$23,362,000,000","631,752","623,496","610,176","560,688",22.04,0.69,13.46,7.89,Average
APH,"$12,623,000,000","$10,876,300,000","$8,598,900,000","$8,225,400,000","239,837","206,650","163,379","156,283",21.35,8.04,5.49,7.81,Average
ADI,"$12,013,953,000","$7,318,286,000","$5,603,056,000","$5,991,065,000","6,859,967","4,178,741","3,199,345","3,420,898",23.78,10.13,7.74,5.9,Average
ANSS,"$2,065,553,000","$1,906,715,000","$1,681,297,000","$1,515,892,000","49,573","45,761","40,351","36,381",13.05,0.86,7.32,4.86,Bad
AON,"$12,479,000,000","$12,193,000,000","$11,066,000,000","$11,013,000,000","299,496","292,632","265,584","264,312",No fundamentals data found for any of the summaryTypes=esgScores,,,,
APA,"$10,960,000,000","$8,025,000,000","$4,393,000,000","$6,354,000,000","361,680","264,825","144,969","209,682",38.81,21.98,8.88,7.96,Great
AAPL,"$394,328,000,000","$365,817,000,000","$274,515,000,000","$260,174,000,000","7,492,232","6,950,523","5,215,785","4,943,306",16.68,0.65,6.86,9.18,Bad
AMAT,"$25,785,000,000","$23,063,000,000","$17,202,000,000","$14,608,000,000","618,840","553,512","412,848","350,592",11.56,3.84,2.62,5.1,Bad
APTV,"$17,489,000,000","$15,618,000,000","$13,066,000,000","$14,357,000,000","332,291","296,742","248,254","272,783",11.51,2.49,3.75,5.27,Bad
ACGL,"$9,614,808,000","$9,249,980,000","$8,508,509,000","$6,925,967,000","182,681","175,750","161,662","131,593",20.75,1.47,7.31,11.98,Average
ANET,"$4,381,310,000","$2,948,037,000","$2,317,512,000","$2,410,706,000","39,432","26,532","20,858","21,696",16.4,0.4,8.88,7.11,Bad
AJG,"$8,270,800,000","$7,974,400,000","$6,781,800,000","$6,894,200,000","21,785,287","21,004,570","17,863,261","18,159,323",21.28,0.11,10.7,10.47,Average
AIZ,"$10,193,000,000","$10,187,600,000","$9,597,600,000","$9,406,100,000","244,632","244,502","230,342","225,746",24.48,1.63,11.58,11.27,Average
T,"$120,741,000,000","$134,038,000,000","$143,050,000,000","$181,193,000,000","3,984,453","4,423,254","4,720,650","5,979,369",22.07,2.27,13.15,6.66,Average
ATO,"$4,201,662,000","$3,407,490,000","$2,821,137,000","$2,901,848,000","130,252","105,632","87,455","89,957",34.79,14.83,13.42,6.54,Great
ADSK,"$5,005,000,000","$4,386,000,000","$3,790,000,000","$3,274,300,000","4,594,590","4,026,348","3,479,220","3,005,807",16.05,3.41,8.19,4.44,Bad
AZO,"$17,457,209,000","$16,252,230,000","$14,629,585,000","$12,631,967,000","3,386,699","3,152,933","2,838,139","2,450,602",11.04,0.11,7.09,3.83,Bad
AVB,"$2,608,696,000","$2,310,130,000","$2,302,526,000","$2,327,490,000","1,489,565","1,319,084","1,314,742","1,328,997",10.53,2.95,3.02,4.56,Bad
AVY,"$9,039,300,000","$8,408,300,000","$6,971,500,000","$7,070,100,000","8,298,077","7,718,819","6,399,837","6,490,352",15.38,10.58,1.14,3.67,Bad
AXON,"$1,189,935,000","$863,381,000","$681,003,000","$530,860,000","22,609","16,404","12,939","10,086",No fundamentals data found for any of the summaryTypes=esgScores,,,,
BKR,"$21,156,000,000","$20,502,000,000","$20,705,000,000","$23,838,000,000","698,148","676,566","683,265","786,654",No fundamentals data found for any of the summaryTypes=esgScores,,,,
BALL,"$15,349,000,000","$13,811,000,000","$11,781,000,000","$11,474,000,000","107,443","96,677","82,467","80,318",10.81,5.92,1.11,3.79,Bad
BAC,"$92,407,000,000","$93,707,000,000","$74,208,000,000","$85,582,000,000","646,849","655,949","519,456","599,074",27.15,1.62,14.37,11.16,Average
BBWI,"$7,560,000,000","$7,882,000,000","$6,434,000,000","$5,405,000,000","143,640","149,758","122,246","102,695",15.5,2.59,8.43,4.48,Bad
BAX,"$15,113,000,000","$12,784,000,000","$11,673,000,000","$11,362,000,000","287,147","242,896","221,787","215,878",23.74,2.83,13.6,7.31,Average
BDX,"$18,870,000,000","$19,131,000,000","$16,074,000,000","$17,290,000,000","622,710","631,323","530,442","570,570",26.74,3.7,15.56,7.48,Average
WRB,"$11,166,499,000","$9,455,466,000","$8,098,925,000","$7,902,196,000","78,165","66,188","56,692","55,315",21.97,1.97,7.95,12.04,Average
BRK.B,#REF!,,,,#REF!,0,0,0,No fundamentals data found for any of the summaryTypes=esgScores,,,,
BBY,"$46,298,000,000","$51,761,000,000","$47,262,000,000","$43,638,000,000","324,086","362,327","330,834","305,466",14.15,2.22,7.19,4.75,Bad
BIO,"$2,802,249,000","$2,922,545,000","$2,545,626,000","$2,311,659,000","53,243","55,528","48,367","43,922",16.87,1.44,8.25,7.19,Bad
TECH,"$1,136,702,000","$1,105,599,000","$931,032,000","$738,691,000","21,597","21,006","17,690","14,035",No fundamentals data found for any of the summaryTypes=esgScores,,,,
BIIB,"$10,173,400,000","$10,981,700,000","$13,444,600,000","$14,377,900,000","193,295","208,652","255,447","273,180",21.05,0.02,13.22,7.81,Average
BLK,"$17,873,000,000","$19,374,000,000","$16,205,000,000","$14,539,000,000","3,467,362","3,758,556","3,143,770","2,820,566",20.57,1.49,9.61,9.48,Average
BX,"$8,015,891,000","$22,175,794,000","$6,188,907,000","$7,058,629,000","264,524","731,801","204,234","232,935",23.63,2.52,9.95,11.16,Average
BK,"$16,338,000,000","$16,162,000,000","$15,472,000,000","$16,487,000,000","539,154","533,346","510,576","544,071",21.48,1.13,9.17,11.18,Average
BA,"$66,608,000,000","$62,286,000,000","$58,158,000,000","$76,559,000,000","2,064,848","1,930,866","1,802,898","2,373,329",34.68,7.08,19.72,7.87,Great
BKNG,"$17,090,000,000","$10,958,000,000","$6,796,000,000","$15,066,000,000","119,630","76,706","47,572","105,462",22.33,2.02,12.48,7.83,Average
BWA,"$15,801,000,000","$14,838,000,000","$10,165,000,000","$10,168,000,000","110,607","103,866","71,155","71,176",12.78,2.86,4.21,5.71,Bad
BXP,"$3,090,580,000","$2,865,880,000","$2,737,804,000","$2,974,599,000","74,174","68,781","65,707","71,390",12.51,2.54,4.52,5.45,Bad
BSX,"$12,682,000,000","$11,888,000,000","$9,913,000,000","$10,735,000,000","304,368","285,312","237,912","257,640",26.33,3,12.69,10.63,Average
BMY,"$46,159,000,000","$46,385,000,000","$42,518,000,000","$26,145,000,000","877,021","881,315","807,842","496,755",22.83,0.34,14.93,7.56,Average
AVGO,"$33,203,000,000","$27,450,000,000","$23,888,000,000","$22,597,000,000","2,988,270","2,470,500","2,149,920","2,033,730",22.41,8.82,6.92,6.66,Average
BR,"$6,060,900,000","$5,709,100,000","$4,993,700,000","$4,529,000,000","545,481","513,819","449,433","407,610",16.21,0.82,9.01,6.38,Bad
BRO,"$3,566,900,000","$3,050,300,000","$2,610,600,000","$2,386,391,000","691,979","591,758","506,456","462,960",21.43,0.16,10.56,10.71,Average
BF.B,#REF!,,,,#REF!,0,0,0,No fundamentals data found for any of the summaryTypes=esgScores,,,,
BG,"$67,232,000,000","$59,152,000,000","$41,404,000,000","$41,140,000,000","2,218,656","1,952,016","1,366,332","1,357,620",34.09,15.25,13.57,5.27,Great
CHRW,"$24,696,625,000","$23,102,138,000","$16,207,106,000","$15,309,508,000","765,595","716,166","502,420","474,595",20.07,5.15,9.29,5.63,Average
CDNS,"$3,561,718,000","$2,988,244,000","$2,682,891,000","$2,336,319,000","320,555","268,942","241,460","210,269",12.19,1.41,6.06,4.72,Bad
CZR,"$10,821,000,000","$9,570,000,000","$3,628,000,000","$2,528,000,000","205,599","181,830","68,932","48,032",No fundamentals data found for any of the summaryTypes=esgScores,,,,
CPT,"$1,434,011,000","$1,165,117,000","$1,065,638,000","$1,048,830,000","10,038","8,156","7,459","7,342",15.94,4.47,4.13,7.34,Bad
CPB,"$9,357,000,000","$8,562,000,000","$8,476,000,000","$8,691,000,000","308,781","282,546","279,708","286,803",23.55,10.93,8.15,4.47,Average
COF,"$28,403,000,000","$32,379,000,000","$18,259,000,000","$22,357,000,000","937,299","1,068,507","602,547","737,781",22.62,0.07,13.33,9.22,Average
CAH,,"$181,364,000,000","$162,467,000,000","$152,922,000,000",0,"35,184,616","31,518,598","29,666,868",12.28,1.51,5.9,4.86,Bad
KMX,"$29,684,873,000","$33,197,212,000","$20,092,149,000","$21,424,087,000","207,794","232,380","140,645","149,969",12.1,0.09,8.02,3.99,Bad
CCL,"$12,169,000,000","$1,908,000,000","$5,594,000,000","$20,825,000,000","2,360,786","370,152","1,085,236","4,040,050",23.69,10.01,9.86,3.82,Average
CARR,"$20,421,000,000","$20,613,000,000","$17,456,000,000","$18,608,000,000","387,999","391,647","331,664","353,552",No fundamentals data found for any of the summaryTypes=esgScores,,,,
CTLT,"$4,276,000,000","$4,828,000,000","$3,998,000,000","$3,094,000,000","132,556","149,668","123,938","95,914",No fundamentals data found for any of the summaryTypes=esgScores,,,,
CAT,"$59,427,000,000","$50,971,000,000","$41,748,000,000","$53,800,000,000","1,426,248","1,223,304","1,001,952","1,291,200",34.18,7.18,18.52,8.47,Great
CBOE,"$3,958,500,000","$3,494,800,000","$3,427,100,000","$2,496,100,000","3,633,903","3,208,226","3,146,078","2,291,420",20.95,2.73,7.58,10.64,Average
CBRE,"$30,828,246,000","$27,746,036,000","$23,826,195,000","$23,894,091,000","215,798","194,222","166,783","167,259",6.84,1.27,2.4,3.17,Bad
CDW,"$23,748,700,000","$20,820,800,000","$18,467,500,000","$18,032,400,000","166,241","145,746","129,273","126,227",9.23,2.4,3.29,3.54,Bad
CE,"$9,673,000,000","$8,537,000,000","$5,655,000,000","$6,297,000,000","25,478,682","22,486,458","14,895,270","16,586,298",29.27,15.09,7.71,6.47,Average
COR,"$238,587,006,000","$213,988,843,000","$189,893,926,000","$179,589,121,000","5,726,088","5,135,732","4,557,454","4,310,139",No fundamentals data found for any of the summaryTypes=esgScores,,,,
CNC,"$135,999,000,000","$118,114,000,000","$104,280,000,000","$70,807,000,000","124,847,082","108,428,652","95,729,040","65,000,826",20.61,0.09,13.28,7.22,Average
CNP,"$9,321,000,000","$8,352,000,000","$7,418,000,000","$7,564,000,000","65,247","58,464","51,926","52,948",25.56,10.58,9.56,5.42,Average
CDAY,"$1,246,200,000","$1,024,200,000","$842,500,000","$824,100,000","23,678","19,460","16,008","15,658",No fundamentals data found for any of the summaryTypes=esgScores,,,,
CF,"$11,186,000,000","$6,538,000,000","$4,124,000,000","$4,590,000,000","100,674","58,842","37,116","41,310",30.03,16.82,7.73,5.49,Great
CRL,"$3,976,060,000","$3,540,160,000","$2,923,933,000","$2,621,226,000","2,270,330","2,021,431","1,669,566","1,496,720",No fundamentals data found for any of the summaryTypes=esgScores,,,,
SCHW,"$20,762,000,000","$18,520,000,000","$11,691,000,000","$10,721,000,000","685,146","611,160","385,803","353,793",24.01,2.08,10.14,11.79,Average
CHTR,"$54,022,000,000","$51,682,000,000","$48,097,000,000","$45,764,000,000","1,026,418","981,958","913,843","869,516",26.53,5.57,13.1,7.86,Average
CVX,"$235,916,000,000","$155,067,000,000","$94,005,000,000","$139,365,000,000","21,232,440","13,956,030","8,460,450","12,542,850",37.61,18.61,8.71,10.29,Great
CMG,"$8,634,652,000","$7,547,061,000","$5,984,634,000","$5,586,369,000","60,443","52,829","41,892","39,105",23.64,5.5,13.45,4.69,Average
CB,"$42,731,000,000","$40,607,000,000","$36,535,000,000","$34,230,000,000","811,889","771,533","694,165","650,370",23.85,1.67,11.59,10.58,Average
CHD,"$5,375,600,000","$5,190,100,000","$4,895,800,000","$4,357,700,000","1,042,866","1,006,879","949,785","845,394",19.79,6.53,6.63,6.62,Bad
CI,"$180,021,000,000","$174,274,000,000","$160,550,000,000","$153,743,000,000","4,320,504","4,182,576","3,853,200","3,689,832",11.65,0.02,5.99,5.65,Bad
CINF,"$6,557,000,000","$9,630,000,000","$7,536,000,000","$7,924,000,000","124,583","182,970","143,184","150,556",25.62,1.82,10.97,12.83,Average
CTAS,,"$7,854,459,000","$7,116,340,000","$7,085,120,000",0,"149,235","135,210","134,617",18.25,3.21,9.17,5.88,Bad
CSCO,"$56,998,000,000","$51,557,000,000","$49,818,000,000","$49,301,000,000","5,129,820","4,640,130","4,483,620","4,437,090",12.07,0.03,5.59,6.45,Bad
C,"$70,560,000,000","$74,990,000,000","$59,572,000,000","$66,849,000,000","1,340,640","1,424,810","1,131,868","1,270,131",26.68,1.75,13.11,11.82,Average
CFG,"$7,547,000,000","$7,058,000,000","$5,289,000,000","$6,098,000,000","19,878,798","18,590,772","13,931,226","16,062,132",23.46,1.96,10.15,11.35,Average
CLX,,"$7,107,000,000","$7,341,000,000","$6,721,000,000",0,"639,630","660,690","604,890",21.14,6.33,9.2,5.61,Average
CME,"$5,008,800,000","$4,564,200,000","$4,883,600,000","$4,868,000,000","120,211","109,541","117,206","116,832",14.59,2.13,6.21,6.24,Bad
CMS,"$8,596,000,000","$7,329,000,000","$6,418,000,000","$6,624,000,000","773,640","659,610","577,620","596,160",21.29,9.8,5.78,5.7,Average
KO,"$43,004,000,000","$38,655,000,000","$33,014,000,000","$37,266,000,000","387,036","347,895","297,126","335,394",22.56,7.88,9.72,4.95,Average
CTSH,"$19,428,000,000","$18,507,000,000","$16,652,000,000","$16,783,000,000","369,132","351,633","316,388","318,877",14.38,1.11,7.64,5.63,Bad
CL,"$17,967,000,000","$17,421,000,000","$16,471,000,000","$15,693,000,000","1,617,030","1,567,890","1,482,390","1,412,370",22.12,6.06,9.35,6.72,Average
CMCSA,"$121,427,000,000","$116,385,000,000","$103,564,000,000","$108,942,000,000","69,334,817","66,455,835","59,135,044","62,205,882",24.76,4.56,12.11,8.09,Average
