Symbol, Revenues 2022, Revenues 2021, Revenues 2020, Revenues 2019,Emissions 2022,Emissions 2021,Emissions 2020,Emissions 2019,Total Esg,Environment Score,Social Score,Governance Score,Esg Performance
PSX,"$169,990,000,000","$111,476,000,000","$64,129,000,000","$107,293,000,000","3,229,810","2,118,044","1,218,451","2,038,567",29.35,16.39,7,5.96,Average
PNW,"$4,324,385,000","$3,803,835,000","$3,586,982,000","$3,471,209,000","142,705","125,527","118,370","114,550",31.06,14.86,10.23,5.97,Great
PXD,"$24,384,000,000","$17,870,000,000","$7,024,000,000","$9,676,000,000","22,384,512","16,404,660","6,448,032","8,882,568",36.74,18.67,8.97,9.1,Great
PNC,"$20,643,000,000","$19,990,000,000","$13,726,000,000","$16,066,000,000","54,373,662","52,653,660","36,154,284","42,317,844",22.34,1.73,11.75,8.86,Average
POOL,"$6,179,727,000","$5,295,584,000","$3,936,623,000","$3,199,517,000","117,415","100,616","74,796","60,791",No fundamentals data found for any of the summaryTypes=esgScores,,,,
PPG,"$17,652,000,000","$16,802,000,000","$13,834,000,000","$15,146,000,000","1,588,680","1,512,180","1,245,060","1,363,140",24.33,9.32,7.69,7.32,Average
PPL,"$7,902,000,000","$5,783,000,000","$5,474,000,000","$5,602,000,000","150,138","109,877","104,006","106,438",33.84,19.71,8.31,5.81,Great
PFG,"$17,491,600,000","$14,262,700,000","$14,741,700,000","$16,222,100,000","542,240","442,144","456,993","502,885",17.22,0.68,6.65,9.88,Bad
PG,"$82,006,000,000","$80,187,000,000","$76,118,000,000","$70,950,000,000","1,558,114","1,523,553","1,446,242","1,348,050",26.61,9.54,9.6,7.47,Average
PGR,"$49,586,400,000","$47,676,500,000","$42,638,100,000","$38,997,700,000","130,610,578","125,579,901","112,308,755","102,719,942",20.87,1.67,8.36,10.85,Average
PLD,"$6,284,564,000","$5,163,695,000","$4,736,105,000","$3,530,799,000","150,830","123,929","113,667","84,739",8.51,2.5,1.74,4.27,Bad
PRU,"$58,378,000,000","$70,871,000,000","$57,091,000,000","$64,807,000,000","1,809,718","2,197,001","1,769,821","2,009,017",16.21,1.03,6.57,8.6,Bad
PEG,"$9,800,000,000","$9,722,000,000","$9,603,000,000","$10,076,000,000","323,400","320,826","316,899","332,508",26.31,11.56,9.28,5.46,Average
PTC,"$1,933,347,000","$1,807,159,000","$1,458,415,000","$1,255,631,000","46,400","43,372","35,002","30,135",18.93,4.92,8.61,5.4,Bad
PSA,"$4,240,044,000","$3,498,917,000","$2,995,565,000","$2,924,655,000","822,569","678,790","581,140","567,383",12.3,4.51,2.55,5.24,Bad
PHM,"$16,228,995,000","$13,926,882,000","$11,036,082,000","$10,212,957,000","389,496","334,245","264,866","245,111",20.87,8.73,7.28,4.86,Average
QRVO,"$3,569,399,000","$4,645,714,000","$4,015,307,000","$3,239,141,000","24,986","32,520","28,107","22,674",29.08,13.12,8.5,7.46,Average
PWR,"$17,073,903,000","$12,980,213,000","$11,202,672,000","$12,112,153,000","563,439","428,347","369,688","399,701",37.18,12.4,15.73,9.05,Great
QCOM,"$44,200,000,000","$33,566,000,000","$23,531,000,000","$24,273,000,000","839,800","637,754","447,089","461,187",16.59,4.83,4.05,7.71,Bad
DGX,"$9,883,000,000","$10,788,000,000","$9,437,000,000","$7,726,000,000","1,917,302","2,092,872","1,830,778","1,498,844",20.98,0.13,12.67,8.18,Average
RL,,"$6,218,500,000","$4,400,800,000","$6,159,800,000",0,"192,774","136,425","190,954",13.21,1.14,6.79,5.28,Bad
RJF,"$10,801,000,000","$9,813,000,000","$7,757,000,000","$7,693,000,000","334,831","304,203","240,467","238,483",23.99,1.18,10.38,12.43,Average
RTX,"$67,074,000,000","$64,388,000,000","$56,587,000,000","$45,349,000,000","469,518","450,716","396,109","317,443",No fundamentals data found for any of the summaryTypes=esgScores,,,,
O,"$3,337,233,000","$2,081,569,000","$1,647,087,000","$1,488,163,000","63,407","39,550","31,295","28,275",15.47,4.41,5.32,5.74,Bad
REG,"$1,271,098,000","$1,203,867,000","$1,047,931,000","$1,164,672,000","246,593","233,550","203,299","225,946",10.88,3.56,2.86,4.45,Bad
REGN,"$12,172,900,000","$16,071,700,000","$8,497,100,000","$6,557,600,000","85,210","112,502","59,480","45,903",18.15,0.38,10.75,7.03,Bad
RF,"$6,944,000,000","$6,962,000,000","$4,957,000,000","$5,473,000,000","48,608","48,734","34,699","38,311",16.08,1.6,7.03,7.44,Bad
RSG,"$13,511,300,000","$11,295,000,000","$10,153,600,000","$10,299,400,000","2,621,192","2,191,230","1,969,798","1,998,084",20.98,11.3,6.02,3.66,Average
RMD,"$4,222,993,000","$3,578,127,000","$3,196,825,000","$2,957,013,000","819,261","694,157","620,184","573,661",26.41,3.36,12.41,10.63,Average
RVTY,"$3,311,822,000","$3,827,808,000","$2,663,230,000","$2,883,673,000","642,493","742,595","516,667","559,433",No fundamentals data found for any of the summaryTypes=esgScores,,,,
RHI,"$7,238,142,000","$6,461,444,000","$5,109,000,000","$6,074,432,000","1,404,200","1,253,520","991,146","1,178,440",10.93,0.1,7.37,3.46,Bad
ROK,"$7,760,400,000","$6,997,400,000","$6,329,800,000","$6,694,800,000","256,093","230,914","208,883","220,928",17.67,5.37,6.64,5.65,Bad
ROL,"$2,695,823,000","$2,424,300,000","$2,161,220,000","$2,015,477,000","88,962","80,002","71,320","66,511",20.28,1.76,11.18,7.34,Average
ROP,"$5,371,800,000","$4,833,800,000","$4,022,400,000","$4,727,700,000","102,064","91,842","76,426","89,826",22.9,4.62,12.71,5.56,Average
ROST,"$18,695,829,000","$18,916,244,000","$12,531,565,000","$16,039,073,000","448,700","453,990","300,758","384,938",15.93,1.8,8.45,5.68,Bad
RCL,"$8,840,540,000","$1,532,133,000","$2,208,805,000","$10,950,661,000","274,057","47,496","68,473","339,470",20.97,9.14,8.04,3.79,Average
SPGI,"$11,181,000,000","$8,297,000,000","$7,442,000,000","$6,699,000,000","6,384,351","4,737,587","4,249,382","3,825,129",14.31,,6.16,8.15,Bad
CRM,"$31,352,000,000","$26,492,000,000","$21,252,000,000","$17,098,000,000","752,448","635,808","510,048","410,352",13.18,2.34,6.39,4.46,Bad
SBAC,"$2,633,454,000","$2,308,834,000","$2,083,138,000","$2,014,645,000","2,417,511","2,119,510","1,912,321","1,849,444",11.58,3.11,3.23,5.23,Bad
SLB,"$28,091,000,000","$22,929,000,000","$23,601,000,000","$32,917,000,000","73,991,694","60,394,986","62,165,034","86,703,378",21.93,7.41,8.76,5.76,Average
STX,,"$11,661,000,000","$10,681,000,000","$10,509,000,000",0,"279,864","256,344","252,216",10.66,1.59,3.8,5.26,Bad
SEE,"$5,641,900,000","$5,533,800,000","$4,903,200,000","$4,791,100,000","5,179,264","5,080,028","4,501,138","4,398,230",20.57,15.83,1.52,3.23,Average
SRE,"$14,439,000,000","$12,857,000,000","$11,370,000,000","$10,829,000,000","447,609","398,567","352,470","335,699",24.72,12.09,7.14,5.5,Average
NOW,"$7,245,000,000","$5,896,000,000","$4,519,000,000","$3,460,000,000","173,880","141,504","108,456","83,040",16.05,1.41,8.39,6.26,Bad
SHW,"$22,148,900,000","$19,944,600,000","$18,361,700,000","$17,900,800,000","1,993,401","1,795,014","1,652,553","1,611,072",28.63,12.93,8.99,6.72,Average
SPG,"$5,291,447,000","$5,114,689,000","$4,602,303,000","$5,670,989,000","1,026,541","992,250","892,847","1,100,172",14.21,3.83,3.99,6.38,Bad
SWKS,"$5,485,500,000","$5,109,100,000","$3,355,700,000","$3,376,800,000","1,064,187","991,165","651,006","655,099",27.76,11.63,8.93,7.21,Average
SJM,"$8,529,200,000","$7,998,900,000","$8,002,700,000","$7,801,000,000","22,465,913","21,069,103","21,079,112","20,547,834",30.97,12.36,12.44,6.16,Great
SNA,"$4,842,500,000","$4,601,700,000","$3,942,200,000","$4,067,700,000","939,445","892,730","764,787","789,134",30.83,9.33,13.91,7.59,Great
SEDG,"$3,110,279,000","$1,963,865,000","$1,459,271,000","$1,425,660,000","603,394","380,990","283,099","276,578",No fundamentals data found for any of the summaryTypes=esgScores,,,,
SO,"$29,279,000,000","$23,113,000,000","$20,375,000,000","$21,419,000,000","966,207","762,729","672,375","706,827",33.09,14.79,11,7.3,Great
LUV,"$23,814,000,000","$15,790,000,000","$9,048,000,000","$22,428,000,000","452,466","300,010","171,912","426,132",32.39,11.29,14.89,6.21,Great
SWK,"$16,947,400,000","$15,281,300,000","$12,750,000,000","$12,912,900,000","15,557,713","14,028,233","11,704,500","11,854,042",25.93,5.83,12.51,7.59,Average
SBUX,"$32,250,300,000","$29,060,600,000","$23,518,000,000","$26,508,600,000","225,752","203,424","164,626","185,560",24.83,6.11,14.5,4.21,Average
STT,"$12,128,000,000","$12,060,000,000","$11,615,000,000","$11,746,000,000","84,896","84,420","81,305","82,222",22.27,1.96,11.2,9.11,Average
STLD,"$22,260,774,000","$18,408,850,000","$9,601,482,000","$10,464,991,000","422,955","349,768","182,428","198,835",32.39,9.82,14.36,8.21,Great
STE,,"$4,585,064,000","$3,107,519,000","$3,030,895,000",0,"110,042","74,580","72,741",No fundamentals data found for any of the summaryTypes=esgScores,,,,
SYK,"$18,449,000,000","$17,108,000,000","$14,351,000,000","$14,884,000,000","1,660,410","1,539,720","1,291,590","1,339,560",28.52,3.72,13.96,10.84,Average
SYF,"$8,299,000,000","$9,466,000,000","$5,852,000,000","$9,132,000,000","74,691","85,194","52,668","82,188",17.22,0.13,9.89,7.19,Bad
SNPS,"$5,081,542,000","$4,204,193,000","$3,685,281,000","$3,360,694,000","96,549","79,880","70,020","63,853",13.45,3.18,6.2,4.07,Bad
SYY,,"$68,636,146,000","$51,297,843,000","$52,893,310,000",0,"617,725","461,681","476,040",12.06,2.79,4.7,4.57,Bad
TMUS,"$79,571,000,000","$80,118,000,000","$68,397,000,000","$44,998,000,000","2,625,843","2,643,894","2,257,101","1,484,934",26.07,5.03,13.35,7.69,Average
TROW,"$6,488,400,000","$7,671,900,000","$6,206,700,000","$5,617,900,000","3,704,876","4,380,655","3,544,026","3,207,821",17.05,2.36,9.3,5.39,Bad
TTWO,,"$3,504,800,000","$3,372,772,000","$3,088,970,000",0,"115,658","111,301","101,936",No fundamentals data found for any of the summaryTypes=esgScores,,,,
TPR,,"$6,684,500,000","$5,746,300,000","$4,961,400,000",0,"1,296,793","1,114,782","962,512",13.33,1.23,7.2,4.91,Bad
TRGP,"$20,929,800,000","$16,949,800,000","$8,260,300,000","$8,671,100,000","4,060,381","3,288,261","1,602,498","1,682,193",33.98,15.33,14.52,4.13,Great
TGT,"$109,120,000,000","$106,005,000,000","$93,561,000,000","$78,112,000,000","763,840","742,035","654,927","546,784",14.72,2.04,7.63,5.06,Bad
TEL,"$16,281,000,000","$14,923,000,000","$12,172,000,000","$13,448,000,000","390,744","358,152","292,128","322,752",15.93,6.42,4.87,4.64,Bad
TDY,"$5,458,600,000","$4,614,300,000","$3,086,200,000","$3,163,600,000","180,134","152,272","101,845","104,399",No fundamentals data found for any of the summaryTypes=esgScores,,,,
TFX,"$2,791,041,000","$2,809,563,000","$2,537,156,000","$2,595,362,000","66,985","67,430","60,892","62,289",29.63,4.83,16.12,8.67,Average
TER,"$3,155,045,000","$3,702,881,000","$3,121,469,000","$2,294,965,000","612,079","718,359","605,565","445,223",15.86,6.27,4.95,4.64,Bad
TSLA,"$81,462,000,000","$53,823,000,000","$31,536,000,000","$24,578,000,000","570,234","376,761","220,752","172,046",28.54,2.78,16.16,9.61,Average
TXN,"$20,028,000,000","$18,344,000,000","$14,461,000,000","$14,383,000,000","660,924","605,352","477,213","474,639",19.93,8.84,5.06,6.03,Bad
TXT,"$12,869,000,000","$12,382,000,000","$11,651,000,000","$13,630,000,000","424,677","408,606","384,483","449,790",33.81,11.05,16.23,6.53,Great
TMO,"$44,915,000,000","$39,211,000,000","$32,218,000,000","$25,542,000,000","8,713,510","7,606,934","6,250,292","4,955,148",13.52,1.47,5.6,6.46,Bad
TJX,"$49,936,000,000","$48,549,982,000","$32,136,962,000","$41,716,977,000","9,687,584","9,418,697","6,234,571","8,093,094",14.43,1.89,7.42,5.12,Bad
TSCO,"$14,204,717,000","$12,731,105,000","$10,620,352,000","$8,351,931,000","269,890","241,891","201,787","158,687",13.96,3.04,6.78,4.14,Bad
TT,"$15,991,700,000","$14,136,400,000","$12,454,700,000","$13,075,900,000","383,801","339,274","298,913","313,822",16.12,7.11,3.84,5.16,Bad
TDG,"$5,429,000,000","$4,798,000,000","$5,103,000,000","$5,223,000,000","103,151","91,162","96,957","99,237",39.09,12.84,17.85,8.4,Great
TRV,"$36,884,000,000","$34,816,000,000","$31,981,000,000","$31,581,000,000","885,216","835,584","767,544","757,944",20.52,0.99,9.45,10.08,Average
TRMB,"$3,676,300,000","$3,659,100,000","$3,147,700,000","$3,264,300,000","330,867","329,319","283,293","293,787",12.98,3.17,3.72,6.09,Bad
TFC,"$22,258,000,000","$23,109,000,000","$20,370,000,000","$11,953,000,000","422,902","439,071","387,030","227,107",No fundamentals data found for any of the summaryTypes=esgScores,,,,
TYL,"$1,850,204,000","$1,592,287,000","$1,116,663,000","$1,086,427,000","57,356","49,361","34,617","33,679",No fundamentals data found for any of the summaryTypes=esgScores,,,,
TSN,"$53,282,000,000","$47,049,000,000","$43,185,000,000","$42,405,000,000","1,758,306","1,552,617","1,425,105","1,399,365",36.67,14.31,12.39,9.97,Great
USB,"$22,142,000,000","$23,762,000,000","$19,242,000,000","$21,140,000,000","4,295,548","4,609,828","3,732,948","4,101,160",30.05,1.71,15.85,12.49,Great
UDR,"$1,522,333,000","$1,356,413,000","$1,260,009,000","$1,290,066,000","295,333","263,144","244,442","250,273",12.36,3.15,4,5.21,Bad
ULTA,"$10,208,580,000","$8,630,889,000","$6,151,953,000","$7,398,068,000","1,980,465","1,674,392","1,193,479","1,435,225",15.33,3.83,7.2,4.29,Bad
UNP,"$24,875,000,000","$21,804,000,000","$19,533,000,000","$21,708,000,000","4,825,750","4,229,976","3,789,402","4,211,352",25.26,9.43,12.14,3.69,Average
UAL,"$44,955,000,000","$24,634,000,000","$15,355,000,000","$43,259,000,000","314,685","172,438","107,485","302,813",28.81,10.9,12.95,4.96,Average
UPS,"$100,338,000,000","$97,287,000,000","$84,628,000,000","$74,094,000,000","702,366","681,009","592,396","518,658",19.5,4.58,9.55,5.38,Bad
URI,"$11,642,000,000","$9,716,000,000","$8,530,000,000","$9,351,000,000","6,647,582","5,547,836","4,870,630","5,339,421",18.45,5.89,6.57,5.99,Bad
UNH,"$324,162,000,000","$287,597,000,000","$257,141,000,000","$242,155,000,000","10,049,022","8,915,507","7,971,371","7,506,805",17.54,0.03,11.62,5.89,Bad
UHS,"$13,399,370,000","$12,642,117,000","$11,558,897,000","$11,378,259,000","93,796","88,495","80,912","79,648",32.98,3.7,20.68,8.6,Great
VLO,"$171,189,000,000","$108,332,000,000","$60,115,000,000","$102,729,000,000","4,108,536","2,599,968","1,442,760","2,465,496",30.05,18.18,7.23,4.65,Great
VTR,"$4,116,258,000","$3,818,181,000","$3,789,592,000","$3,859,312,000","798,554","740,727","735,181","748,707",12.75,2.75,4.28,5.73,Bad
VLTO,"$4,870,000,000","$4,700,000,000","$4,348,000,000",,"43,830","42,300","39,132",0,No fundamentals data found for any of the summaryTypes=esgScores,,,,
VRSN,"$1,424,900,000","$1,327,600,000","$1,265,100,000","$1,231,661,000","9,974","9,293","8,856","8,622",21.44,4.74,10.77,5.93,Average
VRSK,"$2,497,000,000","$2,462,500,000","$2,269,400,000","$2,607,100,000","82,401","81,263","74,890","86,034",19.3,0.11,13.5,5.7,Bad
VZ,"$136,835,000,000","$133,613,000,000","$128,292,000,000","$131,868,000,000","957,845","935,291","898,044","923,076",18.48,3.88,8.92,5.69,Bad
VRTX,"$8,930,700,000","$7,574,400,000","$6,205,700,000","$4,162,800,000","276,852","234,806","192,377","129,047",22.82,0.75,15.4,6.67,Average
VFC,,"$11,841,840,000","$9,238,830,000","$10,488,556,000",0,"284,204","221,732","251,725",12.89,0.9,6.91,5.07,Bad
VTRS,"$16,262,700,000","$17,886,300,000","$11,946,000,000","$11,500,500,000","14,929,159","16,419,623","10,966,428","10,557,459",No fundamentals data found for any of the summaryTypes=esgScores,,,,
VICI,"$2,660,466,000","$1,509,568,000","$1,225,574,000","$894,798,000","516,130","292,856","237,761","173,591",No fundamentals data found for any of the summaryTypes=esgScores,,,,
V,"$29,310,000,000","$24,105,000,000","$21,846,000,000","$22,977,000,000","2,637,900","2,169,450","1,966,140","2,067,930",16.07,0.71,7.84,7.52,Bad
VMC,"$7,315,200,000","$5,552,200,000","$4,856,800,000","$4,929,100,000","658,368","499,698","437,112","443,619",29.02,15.61,4.56,8.85,Average
WAB,"$8,362,000,000","$7,822,000,000","$7,556,000,000","$8,200,000,000","75,258","70,398","68,004","73,800",23.25,4.52,11.69,7.04,Average
WBA,"$139,081,000,000","$132,703,000,000","$132,509,000,000","$121,982,000,000","26,981,714","25,744,382","25,706,746","23,664,508",18.29,2.03,11.52,4.73,Bad
WMT,"$611,289,000,000","$572,754,000,000","$559,151,000,000","$523,964,000,000","4,279,023","4,009,278","3,914,057","3,667,748",24.63,4.4,13.92,6.31,Average
WEC,"$9,597,400,000","$8,316,000,000","$7,241,700,000","$7,523,100,000","25,279,552","21,904,344","19,074,638","19,815,845",27.36,14.68,7.4,5.27,Average
WFC,"$72,247,000,000","$82,606,000,000","$60,172,000,000","$84,227,000,000","1,372,693","1,569,514","1,143,268","1,600,313",32.84,1.94,15.4,15.51,Great
WELL,"$5,801,994,000","$4,737,473,000","$4,602,953,000","$5,121,306,000","179,862","146,862","142,692","158,760",12.01,3.87,3.22,4.92,Bad
WST,"$2,886,900,000","$2,831,600,000","$2,146,900,000","$1,839,900,000","20,208","19,821","15,028","12,879",No fundamentals data found for any of the summaryTypes=esgScores,,,,
WDC,,"$18,793,000,000","$16,922,000,000","$16,736,000,000",0,"451,032","406,128","401,664",11.43,1.48,3.91,6.05,Bad
WRK,"$21,256,500,000","$18,746,100,000","$17,578,800,000","$18,289,000,000","19,513,467","17,208,920","16,137,338","16,789,302",No fundamentals data found for any of the summaryTypes=esgScores,,,,
WY,"$10,184,000,000","$10,201,000,000","$7,532,000,000","$6,554,000,000","315,704","316,231","233,492","203,174",17.56,10.48,3.29,3.78,Bad
WHR,"$19,724,000,000","$21,985,000,000","$19,456,000,000","$20,419,000,000","650,892","725,505","642,048","673,827",15.8,4.76,7.08,3.96,Bad
WMB,"$11,352,000,000","$10,775,000,000","$7,724,000,000","$8,199,000,000","6,481,992","6,152,525","4,410,404","4,681,629",23.5,9.98,10.43,3.08,Average
WTW,"$8,866,000,000","$8,998,000,000","$8,615,000,000","$8,370,000,000","168,454","170,962","163,685","159,030",18.61,0.13,8.68,9.79,Bad
GWW,"$15,228,000,000","$13,022,000,000","$11,797,000,000","$11,486,000,000","2,954,232","2,526,268","2,288,618","2,228,284",14.6,3.41,5.48,5.72,Bad
WYNN,"$3,756,825,000","$3,763,664,000","$2,095,861,000","$6,611,099,000","123,975","124,201","69,163","218,166",26.49,3.55,11.98,10.96,Average
XEL,"$15,310,000,000","$13,431,000,000","$11,526,000,000","$11,529,000,000","40,326,540","35,377,254","30,359,484","30,367,386",23.8,12.87,6.75,4.18,Average
XYL,"$5,522,000,000","$5,195,000,000","$4,876,000,000","$5,249,000,000","1,071,268","1,007,830","945,944","1,018,306",16.04,3.56,7.4,5.08,Bad
YUM,"$6,842,000,000","$6,584,000,000","$5,652,000,000","$5,597,000,000","225,786","217,272","186,516","184,701",20.55,4.46,11.65,4.44,Average
ZBRA,"$5,781,000,000","$5,627,000,000","$4,448,000,000","$4,485,000,000","138,744","135,048","106,752","107,640",No fundamentals data found for any of the summaryTypes=esgScores,,,,
ZBH,"$6,939,900,000","$6,827,300,000","$6,127,500,000","$7,982,200,000","48,579","47,791","42,893","55,875",27.3,4.46,14.6,8.24,Average
ZION,"$3,030,000,000","$3,187,000,000","$2,376,000,000","2,795,000,000","57,570","60,553","45,144","53,105",No fundamentals data found for any of the summaryTypes=esgScores,,,,
ZTS,"$8,080,000,000","$7,776,000,000","$6,675,000,000","6,260,000,000","56,560","54,432","46,725","43,820",18.47,1.38,8.15,8.95,Bad